playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
billich01,2011,1,LAN,NL,32,56,4,9,3,0,1,4,0,0,4,23,0,0,5,0,0
bixlebr01,2011,1,WAS,NL,79,83,9,17,1,2,0,2,4,3,7,19,3,0,4,0,1
blackch02,2011,1,COL,NL,27,98,9,25,1,0,1,8,5,1,3,8,1,0,1,0,2
blackni01,2011,1,MIN,AL,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blakeca01,2011,1,LAN,NL,63,202,32,51,10,1,4,26,1,2,26,50,1,3,5,3,9
blancan01,2011,1,TEX,AL,36,76,9,17,3,0,2,3,0,1,4,14,0,0,2,0,1
blanche01,2011,1,ARI,NL,37,100,12,25,3,1,8,12,0,1,12,21,1,0,0,0,2
blankky01,2011,1,SDN,NL,55,170,21,39,7,1,7,26,2,0,16,51,0,2,0,2,3
blantjo01,2011,1,PHI,NL,11,11,1,2,0,0,0,2,0,0,0,3,0,0,1,0,0
blevije01,2011,1,OAK,AL,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloomwi01,2011,1,ARI,NL,97,350,44,93,10,2,4,26,20,10,23,51,3,4,2,2,3
blumge01,2011,1,ARI,NL,23,49,8,11,3,0,2,10,0,0,5,9,1,1,0,0,2
boescbr01,2011,1,DET,AL,115,428,75,121,25,1,16,54,5,3,35,83,2,5,0,4,7
boggsbr01,2011,1,MIL,NL,16,19,4,3,0,0,2,2,1,0,3,8,2,0,0,0,0
boggsmi01,2011,1,SLN,NL,51,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
bogusbr01,2011,1,HOU,NL,87,164,22,47,14,1,4,15,4,2,15,40,1,1,1,1,8
bonifem01,2011,1,FLO,NL,152,565,78,167,26,7,5,36,40,11,59,129,1,1,11,5,4
borboju01,2011,1,TEX,AL,32,89,10,24,1,3,0,11,6,2,3,9,0,2,3,1,2
boscajc01,2011,1,ATL,NL,4,9,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
bourgja01,2011,1,HOU,NL,93,238,30,70,8,2,1,16,31,6,10,24,0,0,4,0,5
bourjpe01,2011,1,LAA,AL,147,502,72,136,26,11,12,43,22,9,32,124,0,10,7,1,7
bournmi01,2011,1,HOU,NL,105,429,64,130,26,7,1,32,39,7,38,90,2,3,2,1,5
bournmi01,2011,2,ATL,NL,53,227,30,63,8,3,1,18,22,7,15,50,1,1,3,3,1
bowdemi01,2011,1,BOS,AL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bowkejo01,2011,1,PIT,NL,19,17,0,4,1,0,0,2,0,1,2,4,1,0,0,0,0
bowkejo01,2011,2,PHI,NL,12,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
boyerbl01,2011,1,NYN,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brachbr01,2011,1,SDN,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brackan01,2011,1,NYA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
